Iegravecyr Iegrave-cy
Iocyr Io-cy
Djecyr Dje-cy
Gjecyr Gje-cy
Eukrcyr E-cy
Dzecyr Dze-cy
Iukrcyr I-cy
Yukrcyr Yi-cy
Jecyr Je-cy
Ljecyr Lje-cy
Njecyr Nje-cy
Tshecyr Tshe-cy
Kjecyr Kje-cy
Igravecyr Iigrave-cy
Ushortcyr Ushort-cy
Dzhecyr Dzhe-cy
Acyr A-cy 
Becyr Be-cy
Vecyr Ve-cy
Gecyr Ge-cy
Decyr De-cy
Iecyr Ie-cy
Zhecyr Zhe-cy
Zecyr Ze-cy
Icyr Ii-cy
Ishortcyr Iishort-cy
Kacyr Ka-cy
Elcyr El-cy
Emcyr Em-cy
Encyr En-cy
Ocyr O-cy
Pecyr Pe-cy
Ercyr Er-cy
Escyr Es-cy
Tecyr Te-cy
Ucyr U-cy
Efcyr Ef-cy
Hacyr Ha-cy
Tsecyr Tse-cy
Checyr Che-cy
Shacyr Sha-cy
Shchacyr Shcha-cy
Hardcyr Hardsign-cy
Ylongcyr Yeru-cy
Softcyr Softsign-cy
Ereversedcyr Ereversed-cy
Yucyr Yucyr
Yacyr Yacyr
acyr a-cy
becyr be-cy
vecyr ve-cy
gecyr ge-cy
decyr de-cy
iecyr ie-cy
zhecyr zhe-cy
zecyr ze-cy
icyr ii-cy
ishortcyr iishort-cy
kacyr ka-cy
elcyr el-cy
emcyr em-cy
encyr en-cy
ocyr o-cy
pecyr pe-cy
ercyr er-cy
escyr es-cy
tecyr te-cy
ucyr u-cy
efcyr ef-cy
hacyr ha-cy
tsecyr tse-cy
checyr che-cy
shacyr sha-cy
shchacyr shcha-cy
hardcyr hardsign-cy
ylongcyr yeru-cy
softcyr softsign-cy
ereversedcyr ereversed-cy
yucyr yucyr
yacyr yacyr
iegravecyr iegrave-cy
iocyr io-cy
djecyr dje-cy
gjecyr gje-cy
eukrcyr e-cy
dzecyr dze-cy
iukrcyr i-cy
yukrcyr yi-cy
jecyr je-cy
ljecyr lje-cy
njecyr nje-cy
tshecyr tshe-cy
kjecyr kje-cy
igravecyr iigrave-cy
ushortcyr ushort-cy
dzhecyr dzhe-cy
Yatcyr Yat-cy
yatcyr yat-cy
Fitacyr Fita-cy
fitacyr fita-cy
Izhitsacyr Izhitsa-cy
izhitsacyr izhitsa-cy
Geupcyr Geupcyr
geupcyr geupcyr
